Player,Nation,Pos,Squad,Age,90s,MP,Gls,Ast,Sh,SoT,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Tkl,Int,Clr,Blocks,Def 3rd,Mid 3rd,Att 3rd,TklW,Succ_x,KP,PassLive,PassDead,PrgP,market_value_in_eur,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ_y,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,PrgC,1/3_possession,CPA,Mis,Dis,Rec,PrgR
Morgan Gibbs-White,ENG,"MF,FW",Nott'ham Forest,23.0,35.1,37,5.0,10.0,70.0,13.0,6.9,6.1,6.8,149.0,18.0,1045.0,1480.0,70.6,36.0,17.0,21.0,30.0,6.0,20.0,10.0,24.0,44.0,74.0,86.0,38.0,170.0,40000000.0,1876.0,28.0,217.0,893.0,801.0,103.0,1875.0,115.0,44.0,38.3,55.0,47.8,1033.0,5636.0,2889.0,80.0,62.0,15.0,78.0,44.0,1234.0,181.0
Morgan Guilavogui,GUI,"FW,MF",Lens,25.0,6.3,23,2.0,0.0,21.0,8.0,1.6,1.6,1.0,27.0,4.0,166.0,222.0,74.8,21.0,4.0,7.0,9.0,4.0,12.0,5.0,10.0,5.0,14.0,24.0,0.0,36.0,3000000.0,326.0,11.0,34.0,128.0,166.0,45.0,326.0,10.0,5.0,50.0,5.0,50.0,239.0,1386.0,384.0,16.0,8.0,7.0,23.0,17.0,235.0,75.0
Morgan Rogers,ENG,"MF,FW",Aston Villa,21.0,7.1,11,3.0,1.0,11.0,5.0,1.4,1.4,0.4,23.0,4.0,147.0,195.0,75.4,8.0,3.0,11.0,7.0,3.0,2.0,3.0,1.0,17.0,9.0,18.0,0.0,28.0,22000000.0,289.0,10.0,66.0,131.0,98.0,23.0,289.0,33.0,17.0,51.5,12.0,36.4,150.0,1084.0,563.0,22.0,11.0,6.0,17.0,11.0,185.0,30.0
Morgan Sanson,FRA,MF,Nice,28.0,21.8,29,2.0,3.0,41.0,9.0,3.3,3.3,3.8,74.0,5.0,630.0,836.0,75.4,26.0,20.0,16.0,24.0,12.0,7.0,7.0,19.0,25.0,43.0,44.0,21.0,75.0,8000000.0,1093.0,33.0,170.0,505.0,436.0,46.0,1093.0,50.0,25.0,50.0,22.0,44.0,799.0,5075.0,2036.0,57.0,51.0,12.0,61.0,41.0,726.0,98.0
Moritz Broschinski,GER,FW,Bochum,22.0,13.9,26,2.0,3.0,26.0,7.0,2.4,2.4,0.9,34.0,7.0,135.0,223.0,60.5,11.0,0.0,6.0,10.0,2.0,5.0,4.0,7.0,11.0,15.0,25.0,0.0,10.0,3000000.0,399.0,9.0,24.0,141.0,238.0,58.0,399.0,31.0,11.0,35.5,19.0,61.3,222.0,1088.0,397.0,18.0,10.0,9.0,47.0,35.0,291.0,92.0
Moritz Jenz,GER,DF,Wolfsburg,24.0,19.4,22,0.0,1.0,7.0,0.0,0.3,0.3,0.5,13.0,1.0,941.0,1068.0,88.1,34.0,26.0,94.0,6.0,21.0,11.0,2.0,24.0,1.0,4.0,12.0,0.0,47.0,7500000.0,1274.0,163.0,682.0,578.0,20.0,7.0,1274.0,1.0,1.0,100.0,0.0,0.0,742.0,3467.0,1863.0,2.0,3.0,0.0,6.0,2.0,838.0,4.0
Moritz Nicolas,GER,GK,Gladbach,25.0,27.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,818.0,1055.0,77.5,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,2500000.0,1119.0,939.0,1115.0,4.0,0.0,0.0,1119.0,0.0,0.0,,0.0,,739.0,3712.0,2118.0,0.0,0.0,0.0,0.0,0.0,591.0,0.0
Moritz-Broni Kwarteng,GHA,FW,Bochum,25.0,3.1,11,0.0,1.0,14.0,3.0,1.0,1.0,0.1,17.0,1.0,67.0,94.0,71.3,3.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,4.0,8.0,0.0,6.0,1200000.0,153.0,0.0,14.0,65.0,76.0,15.0,153.0,18.0,7.0,38.9,8.0,44.4,95.0,637.0,250.0,8.0,6.0,3.0,15.0,5.0,99.0,24.0
Morten Frendrup,DEN,MF,Genoa,22.0,34.9,37,2.0,5.0,30.0,4.0,1.7,1.7,1.4,59.0,9.0,979.0,1224.0,80.0,133.0,51.0,42.0,38.0,47.0,70.0,16.0,72.0,16.0,13.0,44.0,0.0,105.0,20000000.0,1651.0,70.0,404.0,922.0,345.0,36.0,1651.0,25.0,16.0,64.0,8.0,32.0,762.0,3773.0,1611.0,36.0,20.0,4.0,55.0,14.0,870.0,69.0
Morten Thorsby,NOR,MF,Genoa,27.0,12.9,24,2.0,2.0,13.0,6.0,1.8,1.8,0.6,14.0,2.0,206.0,332.0,62.0,19.0,4.0,20.0,10.0,9.0,8.0,2.0,11.0,4.0,9.0,11.0,0.0,28.0,3000000.0,470.0,26.0,83.0,225.0,165.0,22.0,470.0,10.0,4.0,40.0,5.0,50.0,198.0,828.0,279.0,6.0,9.0,0.0,27.0,17.0,289.0,39.0
