,,,,,,,,,,,,,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,,-additional
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-9999
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
73,Tahith Chong,2023-2024,23,nl NED,Luton Town,eng Premier League,33,1982,22.0,20,13,5,0.2,0.0,0.2,0.2,0.0,0.0,0.0,MFFW,2696b6a9
74,Ryan Christie,2023-2024,28,sct SCO,Bournemouth,eng Premier League,37,2907,32.3,35,2,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,MF,26ce2263
75,Jordan Clark,2023-2024,29,eng ENG,Luton Town,eng Premier League,23,1304,14.5,14,9,4,0.1,0.1,0.1,0.1,0.0,0.0,0.0,MF,7c5fa6cf
76,Nathaniel Clyne,2023-2024,32,eng ENG,Crystal Palace,eng Premier League,19,1338,14.9,14,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,0442183b
77,Séamus Coleman,2023-2024,34,ie IRL,Everton,eng Premier League,12,665,7.4,7,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,0420d84f
78,Nathan Collins,2023-2024,22,ie IRL,Brentford,eng Premier League,32,2652,29.5,29,3,1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,DF,a8c19eb8
79,Levi Colwill,2023-2024,20,eng ENG,Chelsea,eng Premier League,23,1797,20.0,20,3,4,0.1,0.1,0.1,0.1,0.0,0.0,0.0,DF,700783e7
80,Lewis Cook,2023-2024,26,eng ENG,Bournemouth,eng Premier League,33,2786,31.0,32,1,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,MF,2afc7272
81,Vladimír Coufal,2023-2024,30,cz CZE,West Ham,eng Premier League,36,3132,34.8,36,0,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,DF,fdf3cb77
82,Marc Cucurella,2023-2024,25,es ESP,Chelsea,eng Premier League,21,1782,19.8,20,1,6,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,1daec722
83,Josh Cullen,2023-2024,27,ie IRL,Burnley,eng Premier League,25,2057,22.9,23,2,8,0.1,0.1,0.2,0.1,0.0,0.0,0.0,MF,f6d7d690
84,Matheus Cunha,2023-2024,24,br BRA,Wolves,eng Premier League,32,2440,27.1,29,3,0,0.4,0.3,0.7,0.4,0.0,0.0,0.0,FWMF,dc62b55d
85,Mahmoud Dahoud,2023-2024,27,de GER,Brighton,eng Premier League,9,452,5.0,6,3,8,0.0,0.2,0.2,0.0,0.0,0.0,0.0,MF,db4ed67b
86,Ameen Al-Dakhil,2023-2024,21,be BEL,Burnley,eng Premier League,13,1056,11.7,12,1,2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,93e08bce
87,Diogo Dalot,2023-2024,24,pt POR,Manchester Utd,eng Premier League,36,3174,35.3,35,1,1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,DF,d9565625
88,Mikkel Damsgaard,2023-2024,23,dk DEN,Brentford,eng Premier League,23,842,9.4,7,16,3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,MF,215f3907
89,Danilo,2023-2024,22,br BRA,Nott'ham Forest,eng Premier League,29,1792,19.9,20,9,2,0.1,0.1,0.2,0.1,0.0,0.0,0.0,MF,a816dbfb
90,Arnaut Danjuma,2023-2024,26,nl NED,Everton,eng Premier League,14,595,6.6,5,9,14,0.2,0.0,0.2,0.2,0.0,0.0,0.0,MFFW,f08490a6
91,David Datro Fofana,2023-2024,20,ci CIV,Burnley,eng Premier League,15,879,9.8,10,5,1,0.4,0.1,0.5,0.4,0.0,0.0,0.0,FW,e82900ef
92,Ben Davies,2023-2024,30,wls WAL,Tottenham,eng Premier League,17,1090,12.1,12,5,13,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,44781702
93,Craig Dawson,2023-2024,33,eng ENG,Wolves,eng Premier League,25,2209,24.5,25,0,2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,DF,3e9e06cb
94,Kevin De Bruyne,2023-2024,32,be BEL,Manchester City,eng Premier League,18,1221,13.6,15,3,3,0.3,0.7,1.0,0.3,0.0,0.0,0.0,MF,e46012d4
95,Hannes Delcroix,2023-2024,24,be BEL,Burnley,eng Premier League,12,589,6.5,5,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,b737f944
96,Moussa Diaby,2023-2024,24,fr FRA,Aston Villa,eng Premier League,38,2174,24.2,25,13,0,0.2,0.3,0.6,0.2,0.0,0.0,0.0,FWMF,aeed5c06
97,Rúben Dias,2023-2024,26,pt POR,Manchester City,eng Premier League,30,2559,28.4,28,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,31c69ef1
98,Luis Díaz,2023-2024,26,co COL,Liverpool,eng Premier League,37,2629,29.2,32,5,0,0.3,0.2,0.4,0.3,0.0,0.0,0.0,FW,4a1a9578
99,Lucas Digne,2023-2024,30,fr FRA,Aston Villa,eng Premier League,33,2410,26.8,27,6,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,1b84dbe1
100,Issa Diop,2023-2024,26,fr FRA,Fulham,eng Premier League,18,1424,15.8,16,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,a712ca2b
101,Axel Disasi,2023-2024,25,fr FRA,Chelsea,eng Premier League,31,2579,28.7,29,2,4,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,ad82197c
102,Matt Doherty,2023-2024,31,ie IRL,Wolves,eng Premier League,30,1150,12.8,9,21,8,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DFMF,d557d734
103,Jeremy Doku,2023-2024,21,be BEL,Manchester City,eng Premier League,29,1595,17.7,18,11,2,0.2,0.5,0.6,0.2,0.0,0.0,0.0,FWMF,fffea3e5
104,Nicolás Domínguez,2023-2024,25,ar ARG,Nott'ham Forest,eng Premier League,26,1495,16.6,19,7,6,0.1,0.1,0.2,0.1,0.0,0.0,0.0,MFFW,20b3a502
105,Abdoulaye Doucouré,2023-2024,30,ml MLI,Everton,eng Premier League,32,2629,29.2,32,0,0,0.2,0.0,0.3,0.2,0.0,0.0,0.0,FWMF,02b29014
106,Cheick Doucouré,2023-2024,23,ml MLI,Crystal Palace,eng Premier League,11,919,10.2,11,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,ce4f40c7
107,Alfie Doughty,2023-2024,23,eng ENG,Luton Town,eng Premier League,37,2925,32.5,34,3,0,0.1,0.2,0.3,0.1,0.0,0.0,0.0,DF,bf33b257
108,Tommy Doyle,2023-2024,21,eng ENG,Wolves,eng Premier League,26,1222,13.6,11,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,5526deb1
109,Martin Dúbravka,2023-2024,34,sk SVK,Newcastle Utd,eng Premier League,23,1985,22.1,22,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,3a949a25
110,Lewis Dunk,2023-2024,31,eng ENG,Brighton,eng Premier League,33,2869,31.9,33,0,0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,282f75f3
111,Jhon Durán,2023-2024,19,co COL,Aston Villa,eng Premier League,23,475,5.3,3,20,5,0.9,0.0,0.9,0.9,0.0,0.0,0.0,FWMF,414184f7
112,Ederson,2023-2024,29,br BRA,Manchester City,eng Premier League,33,2785,30.9,33,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,3bb7b8b4
113,Odsonne Édouard,2023-2024,25,fr FRA,Crystal Palace,eng Premier League,30,1555,17.3,17,13,3,0.4,0.0,0.4,0.4,0.0,0.0,0.0,FWMF,0562b7f1
114,John Egan,2023-2024,30,ie IRL,Sheffield Utd,eng Premier League,6,482,5.4,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,debe38a0
115,Anthony Elanga,2023-2024,21,se SWE,Nott'ham Forest,eng Premier League,36,2433,27.0,25,11,0,0.2,0.3,0.5,0.2,0.0,0.0,0.0,FWMF,2fba6108
116,Harvey Elliott,2023-2024,20,eng ENG,Liverpool,eng Premier League,34,1352,15.0,11,23,4,0.2,0.4,0.6,0.2,0.0,0.0,0.0,MFFW,b9e1436c
117,Emerson,2023-2024,24,br BRA,Tottenham,eng Premier League,22,1161,12.9,11,11,16,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,df8b52a5
118,Julio Enciso,2023-2024,19,py PAR,Brighton,eng Premier League,12,475,5.3,5,7,1,0.0,0.4,0.4,0.0,0.0,0.0,0.0,MFFW,9cfbad36
119,Wataru Endo,2023-2024,30,jp JPN,Liverpool,eng Premier League,29,1722,19.1,20,9,4,0.1,0.0,0.1,0.1,0.0,0.0,0.0,MF,c149016b
120,Christian Eriksen,2023-2024,31,dk DEN,Manchester Utd,eng Premier League,22,1141,12.7,12,10,11,0.1,0.2,0.2,0.1,0.0,0.0,0.0,MF,980522ec
121,Maxime Estève,2023-2024,21,fr FRA,Burnley,eng Premier League,16,1309,14.5,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,1a066e69
122,Pervis Estupiñán,2023-2024,25,ec ECU,Brighton,eng Premier League,19,1243,13.8,15,4,1,0.1,0.2,0.4,0.1,0.0,0.0,0.0,DF,d38fdf53
123,Jonny Evans,2023-2024,35,nir NIR,Manchester Utd,eng Premier League,23,1392,15.5,15,8,3,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,f8fcd2a5
124,Eberechi Eze,2023-2024,25,eng ENG,Crystal Palace,eng Premier League,27,2055,22.8,24,3,0,0.5,0.2,0.7,0.4,0.0,0.0,0.0,MFFW,ae4fc6a4
125,Łukasz Fabiański,2023-2024,38,pl POL,West Ham,eng Premier League,10,721,8.0,7,3,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,9328b835
126,Ansu Fati,2023-2024,20,es ESP,Brighton,eng Premier League,19,521,5.8,3,16,5,0.3,0.0,0.3,0.3,0.0,0.0,0.0,MFFW,0ba976e4
127,Evan Ferguson,2023-2024,18,ie IRL,Brighton,eng Premier League,27,1367,15.2,15,12,1,0.4,0.0,0.4,0.4,0.0,0.0,0.0,FW,4596da74
128,Bruno Fernandes,2023-2024,28,pt POR,Manchester Utd,eng Premier League,35,3118,34.6,35,0,0,0.3,0.2,0.5,0.2,0.1,0.1,0.0,MFFW,507c7bdf
129,Enzo Fernández,2023-2024,22,ar ARG,Chelsea,eng Premier League,28,2209,24.5,26,2,0,0.1,0.1,0.2,0.1,0.0,0.1,0.0,MF,5ff4ab71
130,Mark Flekken,2023-2024,30,nl NED,Brentford,eng Premier League,37,3285,36.5,37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,a92ab7be
