Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Team
Willy Boly,CIV,DF,32.0,20,18,1438.0,16.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,1.5,1.5,1.3,2.8,4.0,32.0,3.0,0.13,0.06,0.19,0.13,0.19,0.09,0.08,0.18,0.09,0.18,Nottingham Forest
Moussa Niakhate,SEN,DF,27.0,21,15,1460.0,16.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,0.1,1.2,13.0,39.0,6.0,0.06,0.0,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08,Nottingham Forest
Harry Toffolo,ENG,DF,27.0,23,15,1459.0,16.2,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,1.5,3.2,10.0,42.0,34.0,0.06,0.19,0.25,0.06,0.25,0.1,0.1,0.2,0.1,0.2,Nottingham Forest
Serge Aurier,CIV,"DF,MF",30.0,12,10,833.0,9.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.5,0.6,10.0,47.0,29.0,0.0,0.22,0.22,0.0,0.22,0.02,0.05,0.07,0.02,0.07,Nottingham Forest
Gonzalo Montiel,ARG,DF,26.0,14,8,801.0,8.9,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,1.4,1.5,10.0,28.0,32.0,0.0,0.22,0.22,0.0,0.22,0.01,0.15,0.17,0.01,0.17,Nottingham Forest
Andrew Omobamidele,IRL,DF,21.0,11,8,783.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Nottingham Forest
Nuno Tavares,POR,DF,23.0,8,5,457.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.5,0.7,14.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,Nottingham Forest
Joe Worrall,ENG,DF,26.0,7,5,439.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.2,0.3,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Nottingham Forest
Scott McKenna,SCO,DF,26.0,5,5,416.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,Nottingham Forest
Felipe,BRA,DF,34.0,7,4,375.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.1,0.2,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Nottingham Forest
